,pick_up_hexes,count,day_time
633,89f05ab6c83ffff,386,Night
635,89f05ab680bffff,386,Night
634,89f05ab6c07ffff,386,Night
628,89f05ab6c8bffff,386,Night
636,89f05ab6c0fffff,386,Night
637,89f05ab6c6fffff,386,Night
638,89f05ab6c93ffff,386,Night
639,89f0587922fffff,386,Night
640,89f05ab68d7ffff,386,Night
641,89f05ab681bffff,386,Night
642,89f05ab68c7ffff,386,Night
644,89f05ab6c87ffff,386,Night
645,89f05ab6c77ffff,386,Night
629,89f05ab6c17ffff,386,Night
643,89f05ab6c67ffff,386,Night
791,89f05ab4d43ffff,379,Night
793,89f05ab4d4fffff,379,Night
792,89f05ab48b7ffff,379,Night
387,89f05aa6063ffff,347,Night
386,89f05aa63d7ffff,347,Night
385,89f05aa606fffff,347,Night
384,89f05aa6077ffff,347,Night
383,89f05aa6067ffff,347,Night
382,89f05aa600fffff,347,Night
381,89f05aa6073ffff,347,Night
885,89f05aa6a0bffff,326,Night
867,89f05aa4c13ffff,326,Night
890,89f05aa4c83ffff,326,Night
891,89f05aa6e67ffff,326,Night
868,89f05aa6a17ffff,326,Night
871,89f05aa6ac7ffff,326,Night
870,89f05aa6a77ffff,326,Night
869,89f05aa6a8bffff,326,Night
879,89f05aa6a3bffff,326,Night
884,89f05aa6a73ffff,326,Night
883,89f05aa6a13ffff,326,Night
880,89f05aa4c8bffff,326,Night
876,89f05aa6a1bffff,326,Night
878,89f05aa6a67ffff,326,Night
877,89f05aa6a07ffff,326,Night
881,89f05aa6a0fffff,326,Night
875,89f05aa4c93ffff,326,Night
874,89f05aa6a2bffff,326,Night
873,89f05aa6a03ffff,326,Night
872,89f05aa6a8fffff,326,Night
889,89f05aa6a63ffff,326,Night
888,89f05aa4c9bffff,326,Night
887,89f05aa6a6fffff,326,Night
886,89f05aa6a83ffff,326,Night
865,89f05aa6a9bffff,326,Night
866,89f05aa6a93ffff,326,Night
882,89f05aa4cd7ffff,326,Night
942,89f05aa752fffff,308,Night
952,89f05aa7107ffff,308,Night
943,89f05aa7113ffff,308,Night
945,89f05aa7197ffff,308,Night
946,89f05aa7183ffff,308,Night
947,89f05aa7187ffff,308,Night
948,89f05aa710fffff,308,Night
949,89f05aa718bffff,308,Night
950,89f05aa71bbffff,308,Night
951,89f05aa7177ffff,308,Night
944,89f05aa7193ffff,308,Night
953,89f05aa7103ffff,308,Night
954,89f05aa7117ffff,308,Night
955,89f05aa718fffff,308,Night
815,89f05ab4c17ffff,294,Night
816,89f05ab4c83ffff,294,Night
814,89f05ab4c8fffff,294,Night
892,89f05aa624bffff,271,Night
893,89f05aa625bffff,271,Night
894,89f05aa71b3ffff,271,Night
