,drop_off_hexes,count,day_time
638,89f05aa6027ffff,1042,Night
639,89f05aa63b7ffff,1042,Night
637,89f05aa614bffff,1042,Night
636,89f05aa63b3ffff,1042,Night
635,89f05aa63a3ffff,1042,Night
642,89f05aa614fffff,1042,Night
641,89f05aa63bbffff,1042,Night
640,89f05aa615bffff,1042,Night
662,89f05ab6b6bffff,1036,Night
661,89f05ab4d6bffff,1036,Night
663,89f05ab4d57ffff,1036,Night
659,89f05ab4d47ffff,1036,Night
658,89f05ab6b7bffff,1036,Night
660,89f05ab4dcfffff,1036,Night
657,89f05ab4dd7ffff,1036,Night
656,89f05ab4dc3ffff,1036,Night
664,89f05ab6b6fffff,1036,Night
665,89f05ab4dd3ffff,1036,Night
666,89f05ab4d7bffff,1036,Night
488,89f05ab5bb7ffff,1009,Night
490,89f05ab5943ffff,1009,Night
489,89f05ab594fffff,1009,Night
688,89f05ab6acfffff,996,Night
689,89f05ab6ac3ffff,996,Night
711,89f05ab6e77ffff,972,Night
710,89f05ab6e0fffff,972,Night
362,89f05aa6653ffff,970,Night
361,89f05aa664fffff,970,Night
360,89f05aa6647ffff,970,Night
363,89f05aa6643ffff,970,Night
364,89f05aa6657ffff,970,Night
270,89f05ab45a7ffff,946,Night
271,89f05ab45b7ffff,946,Night
712,89f05ab597bffff,917,Night
908,89f05ab4197ffff,917,Night
909,89f05ab452fffff,917,Night
731,89f05aa75abffff,916,Night
732,89f05aa75bbffff,916,Night
733,89f05aa7587ffff,916,Night
734,89f05aa7533ffff,916,Night
585,89f05ab41afffff,898,Night
919,89f05aa4c5bffff,897,Night
923,89f05aa4127ffff,897,Night
917,89f05aa41b3ffff,897,Night
922,89f05aa41a3ffff,897,Night
921,89f05aa6a4bffff,897,Night
920,89f05aa4137ffff,897,Night
918,89f05aa6a4fffff,897,Night
914,89f05aa41afffff,897,Night
916,89f05aa4c4bffff,897,Night
915,89f05aa41b7ffff,897,Night
165,89f05aa6ad3ffff,889,Night
167,89f05aa6e73ffff,889,Night
164,89f05aa6a6bffff,889,Night
163,89f05aa6e0bffff,889,Night
162,89f05aa6e7bffff,889,Night
161,89f05aa6e63ffff,889,Night
160,89f05aa6e1bffff,889,Night
159,89f05aa6ad7ffff,889,Night
166,89f05aa6ac3ffff,889,Night
152,89f05aa6a47ffff,889,Night
158,89f05aa6acfffff,889,Night
157,89f05aa6a7bffff,889,Night
156,89f05aa6a57ffff,889,Night
155,89f05aa6e77ffff,889,Night
154,89f05aa6e6bffff,889,Night
153,89f05aa6e6fffff,889,Night
18,89f05ab4b63ffff,861,Night
17,89f05ab4bd7ffff,861,Night
21,89f05ab4b0bffff,861,Night
26,89f05ab4b73ffff,861,Night
22,89f05ab4b1bffff,861,Night
31,89f05aa651bffff,861,Night
30,89f05ab4bc7ffff,861,Night
29,89f05ab4b6fffff,861,Night
28,89f05aa659bffff,861,Night
27,89f05ab4b67ffff,861,Night
20,89f05aa65c7ffff,861,Night
19,89f05aa65d7ffff,861,Night
25,89f05ab4b77ffff,861,Night
24,89f05ab4b0fffff,861,Night
23,89f05aa656bffff,861,Night
789,89f05ab684fffff,840,Night
788,89f05ab68cfffff,840,Night
787,89f05ab68c3ffff,840,Night
