,routes,count,day_time
111,89f05aa71afffff**89f05aa7127ffff**89f05aa46b3ffff**89f05aa7123ffff**89f05aa7133ffff**89f05aa71abffff**89f05aa712fffff**89f05aa71a3ffff**89f05aa444bffff**89f05aa7137ffff**89f05aa445bffff,99,Night
147,89f05aa422fffff**89f05aa4217ffff**89f05aa46afffff**89f05aa4267ffff**89f05aa4213ffff**89f05aa4293ffff**89f05aa5c87ffff**89f05aa5c83ffff**89f05aa4277ffff**89f05aa5c97ffff**89f05aa423bffff**89f05aa5c9bffff**89f05aa420fffff**89f05aa428bffff**89f05aa5c8fffff**89f05aa4203ffff**89f05aa5c93ffff**89f05aa405bffff**89f05aa4287ffff**89f05aa5c13ffff**89f05aa4207ffff**89f05aa4223ffff**89f05aa428fffff**89f05aa4637ffff**89f05aa4283ffff**89f05aa4627ffff**89f05aa404bffff**89f05aa5c03ffff,95,Morning
78,89f05ab6c97ffff**89f05879357ffff**89f05879227ffff**89f058793d3ffff**89f058793c3ffff**89f05879237ffff**89f058793cfffff**89f058792a7ffff**89f058792afffff**89f0587904fffff**89f0587934bffff**89f058793dbffff**89f0587906bffff**89f05879233ffff**89f058792a3ffff**89f058792abffff**89f05879353ffff**89f05879223ffff**89f0587935bffff**89f058792b7ffff**89f058793cbffff,93,Night
124,89f05aa62dbffff**89f05aa75afffff**89f05aa62cbffff**89f05aa666bffff**89f05aa62c3ffff**89f05aa7537ffff**89f05aa7523ffff**89f05aa75a3ffff**89f05aa667bffff**89f05aa62d3ffff**89f05aa75b7ffff**89f05aa75a7ffff,90,Night
145,89f0584c937ffff**89f0587b64fffff**89f0587b6c3ffff**89f0584c9afffff**89f0584cdb7ffff**89f0584e96bffff**89f0587b25bffff**89f0584c9b3ffff**89f0584c9a3ffff**89f0587b653ffff**89f0587b24bffff**89f0587b6d3ffff**89f0587b643ffff,88,Morning
94,89f05aa65c3ffff**89f05aa6037ffff**89f05aa654fffff**89f05aa6543ffff**89f05aa61d3ffff**89f05aa60a7ffff**89f05aa657bffff**89f05aa61c3ffff**89f05aa6153ffff**89f05aa65cfffff**89f05aa60b7ffff**89f05aa6547ffff**89f05aa61dbffff**89f05aa6143ffff**89f05aa6553ffff**89f05aa61cbffff**89f05aa6557ffff**89f05aa61cfffff,83,Night
67,89f05aa6e13ffff**89f05aa6103ffff**89f05aa616fffff**89f05aa6ed7ffff**89f05aa610fffff**89f05aa6177ffff**89f05aa6e8bffff**89f05aa6e03ffff**89f05aa6167ffff**89f05aa6ec7ffff**89f05aa6e9bffff,82,Night
95,89f05ab4127ffff**89f05ab4e87ffff,76,Night
128,89f05ab5d03ffff,73,Night
146,89f05ab6823ffff**89f05ab6827ffff**89f05ab6887ffff**89f05ab683bffff**89f05ab68abffff**89f05ab6807ffff**89f05ab695bffff**89f05ab68bbffff**89f05ab6c23ffff**89f05ab682bffff**89f05ab6897ffff**89f05ab6b97ffff**89f05ab6c2fffff**89f05ab6837ffff**89f05ab6833ffff**89f05ab682fffff**89f05ab6817ffff,64,Morning
108,89f05aa45cbffff**89f05aa44a3ffff**89f05aa45c3ffff**89f05aa45cfffff**89f05aa636bffff**89f05aa44b7ffff**89f05aa44afffff**89f05aa6343ffff**89f05aa454fffff**89f05aa634bffff**89f05aa634fffff**89f05aa637bffff**89f05aa44b3ffff**89f05aa45dbffff**89f05aa6353ffff**89f05aa44a7ffff**89f05aa4543ffff**89f05aa4553ffff**89f05aa45d3ffff,64,Night
82,89f05ab4d2bffff**89f05ab493bffff**89f05ab4d33ffff**89f05ab490fffff**89f05ab4917ffff**89f05ab4dabffff**89f05ab498fffff**89f05ab4993ffff**89f05ab4903ffff**89f05ab4913ffff**89f05ab4907ffff**89f05ab4d07ffff**89f05ab4d3bffff**89f05ab4983ffff**89f05ab49bbffff,56,Night
131,89f05aa650bffff**89f05aa6147ffff**89f05aa6157ffff**89f05aa6563ffff**89f05aa658bffff**89f05aa616bffff**89f05aa6573ffff**89f05aa656fffff**89f05aa617bffff,55,Night
149,89f05aa4513ffff**89f05aa45bbffff**89f05aa4587ffff**89f05aa632bffff**89f05aa4597ffff**89f05aa633bffff**89f05aa45a3ffff**89f05aa458bffff**89f05aa459bffff**89f05aa45afffff**89f05aa45abffff**89f05aa4503ffff**89f05aa6a5bffff**89f05aa4583ffff**89f05aa458fffff**89f05aa4593ffff**89f05aa4537ffff**89f05aa4527ffff**89f05aa6367ffff**89f05aa630fffff**89f05aa6377ffff,54,Noon
21,89f05ab4947ffff**89f05ab49c7ffff**89f05ab49cbffff**89f05ab49cfffff**89f05ab4953ffff**89f05ab497bffff**89f05ab496bffff**89f05ab49c3ffff**89f05ab491bffff**89f05ab490bffff**89f05ab4957ffff,52,Night
